dma_code,baseline_month,current_avg_mnf,baseline_avg_mnf,mnf_delta_pct,mnf_delta_abs,mnf_color,current_avg_daily_total,baseline_avg_daily_total,inflow_delta_pct,inflow_delta_abs,inflow_color,n_valid_days_current,n_valid_days_baseline,current_window_start,current_window_end,generated_at
DM-03-06-04-01,2025-09,,,,,gray,3552.62,3515.5,1.06,37.12,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-03-06-04-02,2025-09,,,,,gray,2098.47,6403.2,-67.23,-4304.73,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-03-06-04-03,2025-09,40.703,,,,gray,1702.5,,,,gray,7.0,,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-03-06-05-01,2025-09,0.0,96.515,-100.0,-96.52,green,0.0,4424.96,-100.0,-4424.96,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-03-06-05-02,2025-09,41.504,55.129,-24.71,-13.62,green,2925.39,2818.21,3.8,107.18,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-03-06-05-03,2025-09,87.589,,,,gray,4113.67,,,,gray,7.0,,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-03-06-06-01,2025-09,78.687,77.894,1.02,0.79,green,4036.7,3616.83,11.61,419.87,yellow,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-03-06-06-02,2025-09,0.041,52.884,-99.92,-52.84,green,5.14,1973.24,-99.74,-1968.1,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-03-06-07-01,2025-09,122.116,15.462,689.78,106.65,red,3294.49,423.16,678.54,2871.33,red,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-03-06-07-02,2025-09,52.395,0.0,,,gray,2337.84,0.0,,,gray,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-03-06-08-01,2025-09,18.931,135.912,-86.07,-116.98,green,492.52,2999.15,-83.58,-2506.63,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
