dma_code,dma_name,case,status,case_reason,mnf_start,mnf_end,current_mnf,baseline_mean,baseline_sd,threshold,watch_threshold,mk_z,mk_trend,mk_significant,cusum_h,cusum_breached,cusum_recent_breach,cusum_step_rapid,cusum_rise_days,mnf_recovered,mnf_excess_ratio,excess_too_small,sustained_flow_breach,sustained_run_intervals,pressure_drop_confirmed,hard_threshold_breached,excess_per_hour,est_loss_per_day,base_win_len,last_data_date,last_day_coverage,last_day_full,r_eff_median,loss_factor_median,proximity_estimate,favad_volume_total,user_type,pipe_material,rtu_zigzag_ratio,rtu_zigzag_flag,generated_at
DM-01-03-05-01,DM-01-03-05-01,C,ok,MNF ล่าสุด (47.0 m³/hr) / ส่วนเกินเฉลี่ย 3 วัน (-8.3 m³/hr) กลับมาที่ระดับค่าเฉลี่ยฐาน (70.6 m³/hr) แล้ว — ไม่มีน้ำสูญเสียส่วนเกินเหลืออยู่ ถือว่าเหตุการณ์จบ/ซ่อมเสร็จแล้ว จึงไม่ขึ้นเตือน,00:00,02:00,47.0,70.638,17.615,105.867,88.253,-0.179,ลดลงเล็กน้อย,False,70.458,False,False,False,,True,-0.3346,True,True,14,False,False,0.0,0.0,14,2026-09-06,96,True,0.0,3e-05,,0.0,RESIDENTIAL,PVC,0.2581,False,2026-09-08 07:56:48
DM-01-03-06-02,DM-01-03-06-02,C,ok,มีสัญญาณเชิงสถิติ แต่ส่วนเกิน MNF อยู่แค่ 2.9 m³/hr (11.1% ของค่าเฉลี่ยฐาน 26.3 m³/hr) ต่ำกว่าเกณฑ์ปริมาณขั้นต่ำที่ตั้งไว้ (20%) — ยังไม่คุ้มส่งตรวจ เฝ้าดูต่อ,00:15,02:15,29.25,26.321,5.486,37.294,31.808,3.066,เพิ่มขึ้นชัดเจน,True,21.945,False,False,False,,False,0.1113,True,True,12,False,False,4.387,105.29,14,2026-09-06,96,True,0.0,0.00012,,105.29,RESIDENTIAL,PVC,0.4362,False,2026-09-08 07:56:48
DM-01-04-01-01,DM-01-04-01-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),00:15,02:15,43.375,39.062,11.092,61.246,50.154,0.716,เพิ่มขึ้นเล็กน้อย,False,44.366,False,False,False,,False,0.1104,True,False,3,True,False,7.729,185.5,14,2026-09-06,96,True,0.0,0.00015,,185.5,RESIDENTIAL,PVC,0.5426,False,2026-09-08 07:56:48
DM-01-04-04-02,DM-01-04-04-02,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),04:15,06:15,19.5,50.036,11.827,73.69,61.863,-1.252,ลดลงเล็กน้อย,False,47.308,False,False,False,,True,-0.6103,True,False,0,False,False,0.0,0.0,14,2026-09-06,96,True,1e-05,0.1,,0.0,RESIDENTIAL,PVC,0.5,False,2026-09-08 07:56:48
DM-01-04-05-01,DM-01-04-05-01,C,ok,MNF ล่าสุด (78.2 m³/hr) / ส่วนเกินเฉลี่ย 3 วัน (+5.1 m³/hr) กลับมาที่ระดับค่าเฉลี่ยฐาน (78.7 m³/hr) แล้ว — ไม่มีน้ำสูญเสียส่วนเกินเหลืออยู่ ถือว่าเหตุการณ์จบ/ซ่อมเสร็จแล้ว จึงไม่ขึ้นเตือน,00:15,02:15,78.25,78.652,13.789,106.23,92.441,2.245,เพิ่มขึ้นชัดเจน,True,55.157,False,False,False,,True,-0.0051,True,False,0,False,False,5.14,123.36,14,2026-09-06,96,True,0.0,0.00019,,123.36,RESIDENTIAL,PVC,0.5,False,2026-09-08 07:56:48
DM-01-05-01-01,DM-01-05-01-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:00,04:00,117.875,152.598,32.202,217.003,184.801,0.961,เพิ่มขึ้นเล็กน้อย,False,128.81,False,False,False,,True,-0.2275,True,False,0,False,False,0.0,0.0,14,2026-09-06,96,True,0.0,0.1,,0.0,RESIDENTIAL,PVC,0.4396,False,2026-09-08 07:56:48
DM-01-05-01-02,DM-01-05-01-02,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),00:15,02:15,84.75,119.839,16.268,152.376,136.108,-0.09,ลดลงเล็กน้อย,False,65.073,False,False,False,,True,-0.2928,True,False,0,False,False,0.0,0.0,14,2026-09-06,96,True,0.0,0.1,,0.0,RESIDENTIAL,PVC,0.5851,False,2026-09-08 07:56:48
DM-01-05-03-01,DM-01-05-03-01,C,ok,มีสัญญาณเชิงสถิติ แต่ส่วนเกิน MNF อยู่แค่ 1.1 m³/hr (1.2% ของค่าเฉลี่ยฐาน 93.9 m³/hr) ต่ำกว่าเกณฑ์ปริมาณขั้นต่ำที่ตั้งไว้ (20%) — ยังไม่คุ้มส่งตรวจ เฝ้าดูต่อ,01:45,03:45,95.0,93.857,2.673,99.202,96.53,3.143,เพิ่มขึ้นชัดเจน,True,10.69,False,False,False,,False,0.0122,True,False,0,False,False,0.268,6.43,14,2026-09-06,96,True,0.0,0.049,,6.43,RESIDENTIAL,PVC,0.5213,False,2026-09-08 07:56:48
DM-01-05-04-01,DM-01-05-04-01,C,ok,มีสัญญาณเชิงสถิติ แต่ส่วนเกิน MNF อยู่แค่ 4.1 m³/hr (5.9% ของค่าเฉลี่ยฐาน 68.6 m³/hr) ต่ำกว่าเกณฑ์ปริมาณขั้นต่ำที่ตั้งไว้ (20%) — ยังไม่คุ้มส่งตรวจ เฝ้าดูต่อ,02:00,04:00,72.625,68.571,3.517,75.606,72.089,0.0,ทรงตัว,False,14.07,True,True,False,15.0,False,0.0591,True,False,4,False,False,3.095,74.29,14,2026-09-06,96,True,0.0,0.00019,,74.29,RESIDENTIAL,PVC,0.5376,False,2026-09-08 07:56:48
DM-01-05-04-02,DM-01-05-04-02,C,ok,มีสัญญาณเชิงสถิติ แต่ส่วนเกิน MNF อยู่แค่ 2.2 m³/hr (4.5% ของค่าเฉลี่ยฐาน 48.4 m³/hr) ต่ำกว่าเกณฑ์ปริมาณขั้นต่ำที่ตั้งไว้ (20%) — ยังไม่คุ้มส่งตรวจ เฝ้าดูต่อ,02:00,04:00,50.625,48.429,0.687,49.803,49.116,-0.09,ลดลงเล็กน้อย,False,2.75,True,False,True,1.0,False,0.0454,True,True,15,False,False,2.53,60.71,14,2026-09-06,96,True,0.0,0.00013,,60.71,RESIDENTIAL,PVC,0.5,False,2026-09-08 07:56:48
DM-01-06-01-01,DM-01-06-01-01,C,ok,MNF ล่าสุด (66.6 m³/hr) / ส่วนเกินเฉลี่ย 3 วัน (-1.4 m³/hr) กลับมาที่ระดับค่าเฉลี่ยฐาน (68.4 m³/hr) แล้ว — ไม่มีน้ำสูญเสียส่วนเกินเหลืออยู่ ถือว่าเหตุการณ์จบ/ซ่อมเสร็จแล้ว จึงไม่ขึ้นเตือน,02:15,04:15,66.625,68.357,2.683,73.723,71.04,1.803,เพิ่มขึ้นชัดเจน,True,10.732,False,False,False,,True,-0.0253,True,False,0,False,False,0.0,0.0,14,2026-09-06,96,True,0.0,0.1,,0.0,RESIDENTIAL,PVC,0.5161,False,2026-09-08 07:56:48
DM-01-06-01-02,DM-01-06-01-02,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),01:45,03:45,22.0,22.161,0.514,23.189,22.675,0.0,ทรงตัว,False,2.057,False,False,False,,True,-0.0073,True,False,0,False,False,0.0,0.0,14,2026-09-06,96,True,0.0,0.1,,0.0,RESIDENTIAL,PVC,0.6463,False,2026-09-08 07:56:48
DM-01-06-02-02,DM-01-06-02-02,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),00:30,02:30,124.562,126.116,20.334,166.784,146.45,0.576,เพิ่มขึ้นเล็กน้อย,False,81.336,False,False,False,,True,-0.0123,True,False,0,False,False,0.0,0.0,14,2026-09-06,96,True,0.0,0.1,,0.0,RESIDENTIAL,PVC,0.6848,False,2026-09-08 07:56:48
DM-01-06-04-01,DM-01-06-04-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:00,04:00,107.375,111.991,18.94,149.871,130.931,0.361,เพิ่มขึ้นเล็กน้อย,False,75.76,False,False,False,,True,-0.0412,True,False,1,False,False,0.0,0.0,14,2026-09-06,96,True,0.0,0.1,,0.0,RESIDENTIAL,PVC,0.5426,False,2026-09-08 07:56:48
DM-01-06-05-01,DM-01-06-05-01,C,ok,มีสัญญาณเชิงสถิติ แต่ส่วนเกิน MNF อยู่แค่ 5.0 m³/hr (5.9% ของค่าเฉลี่ยฐาน 85.4 m³/hr) ต่ำกว่าเกณฑ์ปริมาณขั้นต่ำที่ตั้งไว้ (20%) — ยังไม่คุ้มส่งตรวจ เฝ้าดูต่อ,02:00,04:00,90.375,85.357,1.722,88.8,87.079,2.245,เพิ่มขึ้นชัดเจน,True,6.886,True,False,True,3.0,False,0.0588,True,True,16,False,False,5.226,125.43,14,2026-09-06,96,True,0.0,3e-05,,125.43,RESIDENTIAL,PVC,0.5106,False,2026-09-08 07:56:48
DM-01-06-05-05,DM-01-06-05-05,C,ok,มีสัญญาณเชิงสถิติ แต่ส่วนเกิน MNF อยู่แค่ 2.7 m³/hr (2.7% ของค่าเฉลี่ยฐาน 102.4 m³/hr) ต่ำกว่าเกณฑ์ปริมาณขั้นต่ำที่ตั้งไว้ (20%) — ยังไม่คุ้มส่งตรวจ เฝ้าดูต่อ,02:15,04:15,105.125,102.402,17.239,136.88,119.641,2.326,เพิ่มขึ้นชัดเจน,True,68.957,False,False,False,,False,0.0266,True,False,0,False,False,3.473,83.36,14,2026-09-06,96,True,0.0,6e-05,,83.36,RESIDENTIAL,PVC,0.5806,False,2026-09-08 07:56:48
DM-01-07-01-01,DM-01-07-01-01,C,ok,มีสัญญาณเชิงสถิติ แต่ส่วนเกิน MNF อยู่แค่ 5.7 m³/hr (8.1% ของค่าเฉลี่ยฐาน 69.7 m³/hr) ต่ำกว่าเกณฑ์ปริมาณขั้นต่ำที่ตั้งไว้ (20%) — ยังไม่คุ้มส่งตรวจ เฝ้าดูต่อ,00:30,02:30,75.375,69.696,2.98,75.657,72.677,0.894,เพิ่มขึ้นเล็กน้อย,False,11.92,True,False,True,4.0,False,0.0815,True,True,19,False,False,5.054,121.29,14,2026-09-06,96,True,0.0,1e-05,,121.29,RESIDENTIAL,PVC,0.2796,False,2026-09-08 07:56:48
DM-01-07-02-03,DM-01-07-02-03,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),01:45,03:45,19.25,19.438,1.641,22.719,21.078,0.537,เพิ่มขึ้นเล็กน้อย,False,6.562,False,False,False,,True,-0.0096,True,False,2,False,False,1.104,26.5,14,2026-09-06,96,True,0.0,0.00274,,26.5,RESIDENTIAL,PVC,0.6064,False,2026-09-08 07:56:48
DM-01-07-03-01,DM-01-07-03-01,C,ok,มีสัญญาณเชิงสถิติ แต่ส่วนเกิน MNF อยู่แค่ 4.6 m³/hr (6.1% ของค่าเฉลี่ยฐาน 75.0 m³/hr) ต่ำกว่าเกณฑ์ปริมาณขั้นต่ำที่ตั้งไว้ (20%) — ยังไม่คุ้มส่งตรวจ เฝ้าดูต่อ,00:30,02:30,79.625,75.018,1.617,78.253,76.635,0.716,เพิ่มขึ้นเล็กน้อย,False,6.469,True,False,True,7.0,False,0.0614,True,True,27,False,False,3.94,94.57,14,2026-09-06,96,True,0.0,1e-05,,94.57,RESIDENTIAL,PVC,0.3404,False,2026-09-08 07:56:48
DM-01-07-03-02,DM-01-07-03-02,C,ok,MNF ล่าสุด (37.8 m³/hr) / ส่วนเกินเฉลี่ย 3 วัน (-1.6 m³/hr) กลับมาที่ระดับค่าเฉลี่ยฐาน (39.4 m³/hr) แล้ว — ไม่มีน้ำสูญเสียส่วนเกินเหลืออยู่ ถือว่าเหตุการณ์จบ/ซ่อมเสร็จแล้ว จึงไม่ขึ้นเตือน,01:45,03:45,37.75,39.438,1.531,42.499,40.968,-1.61,ลดลงเล็กน้อย,False,6.123,True,False,True,3.0,True,-0.0428,True,False,3,False,False,0.0,0.0,14,2026-09-06,96,True,0.0,0.03539,,0.0,RESIDENTIAL,PVC,0.5851,False,2026-09-08 07:56:48
DM-01-07-03-03,DM-01-07-03-03,C,ok,MNF ล่าสุด (38.2 m³/hr) / ส่วนเกินเฉลี่ย 3 วัน (-2.6 m³/hr) กลับมาที่ระดับค่าเฉลี่ยฐาน (41.2 m³/hr) แล้ว — ไม่มีน้ำสูญเสียส่วนเกินเหลืออยู่ ถือว่าเหตุการณ์จบ/ซ่อมเสร็จแล้ว จึงไม่ขึ้นเตือน,01:45,03:45,38.25,41.17,1.336,43.842,42.506,2.147,เพิ่มขึ้นชัดเจน,True,5.344,False,False,False,,True,-0.0709,True,False,0,False,False,0.0,0.0,14,2026-09-06,96,True,0.0,0.1,,0.0,RESIDENTIAL,PVC,0.5269,False,2026-09-08 07:56:48
