rtu_id,dma_name,user_type,pipe_material,favad_n1,mnf_start,mnf_end,cusum_k_factor,cusum_h_factor,burst_intervals,q_std_mult,p_drop_bar,is_active,hard_flow_threshold
DM-02-01-03-03,DM-02-01-03-03,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-02-01-04-01,DM-02-01-04-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-01-04-02,DM-02-01-04-02,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-02-01-04-03,DM-02-01-04-03,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-01-04-05,DM-02-01-04-05,RESIDENTIAL,PVC,1.15,00:15,02:15,0.5,4,8,2.0,0.25,True,5000
DM-02-01-07-01,DM-02-01-07-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-02-01-01,DM-02-02-01-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-01-02,DM-02-02-01-02,RESIDENTIAL,PVC,1.15,03:15,05:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-02-01,DM-02-02-02-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-03-01,DM-02-02-03-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-04-01,DM-02-02-04-01,RESIDENTIAL,PVC,1.15,00:15,02:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-04-02,DM-02-02-04-02,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-05-01,DM-02-02-05-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-05-02,DM-02-02-05-02,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-02-02-06-01,DM-02-02-06-01,RESIDENTIAL,PVC,1.15,00:15,02:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-06-02,DM-02-02-06-02,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-02-02-06-03,DM-02-02-06-03,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-07-01,DM-02-02-07-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-07-03,DM-02-02-07-03,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-02-08-01,DM-02-02-08-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-03-01-01,DM-02-03-01-01,RESIDENTIAL,PVC,1.15,00:30,02:30,0.5,4,8,2.0,0.25,True,5000
DM-02-03-02-01,DM-02-03-02-01,RESIDENTIAL,PVC,1.15,00:15,02:15,0.5,4,8,2.0,0.25,True,5000
DM-02-03-02-02,DM-02-03-02-02,RESIDENTIAL,PVC,1.15,01:00,03:00,0.5,4,8,2.0,0.25,True,5000
DM-02-03-03-01,DM-02-03-03-01,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-02-03-03-02,DM-02-03-03-02,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-03-04-01,DM-02-03-04-01,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-02-03-05-01,DM-02-03-05-01,RESIDENTIAL,PVC,1.15,17:45,19:45,0.5,4,8,2.0,0.25,True,5000
DM-02-03-06-01,DM-02-03-06-01,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-02-03-06-02,DM-02-03-06-02,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-02-03-06-03,DM-02-03-06-03,RESIDENTIAL,PVC,1.15,11:30,13:30,0.5,4,8,2.0,0.25,True,5000
DM-02-04-01-02,DM-02-04-01-02,RESIDENTIAL,PVC,1.15,01:15,03:15,0.5,4,8,2.0,0.25,True,5000
DM-02-04-01-03,DM-02-04-01-03,RESIDENTIAL,PVC,1.15,00:30,02:30,0.5,4,8,2.0,0.25,True,5000
DM-02-04-02-01,DM-02-04-02-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-04-02-02,DM-02-04-02-02,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-04-03-01,DM-02-04-03-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-04-04-01,DM-02-04-04-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-04-04-02,DM-02-04-04-02,RESIDENTIAL,PVC,1.15,03:00,05:00,0.5,4,8,2.0,0.25,True,5000
DM-02-04-05-01,DM-02-04-05-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-04-05-02,DM-02-04-05-02,RESIDENTIAL,PVC,1.15,00:30,02:30,0.5,4,8,2.0,0.25,True,5000
DM-02-04-06-01,DM-02-04-06-01,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-02-08-01-01,DM-02-08-01-01,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-02-08-01-02,DM-02-08-01-02,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-02-08-02-01,DM-02-08-02-01,RESIDENTIAL,PVC,1.15,01:30,03:30,0.5,4,8,2.0,0.25,True,5000
DM-02-08-02-02,DM-02-08-02-02,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-02-08-03-01,DM-02-08-03-01,RESIDENTIAL,PVC,1.15,06:15,08:15,0.5,4,8,2.0,0.25,True,5000
DM-02-08-03-02,DM-02-08-03-02,RESIDENTIAL,PVC,1.15,01:15,03:15,0.5,4,8,2.0,0.25,True,5000
DM-02-08-03-03,DM-02-08-03-03,RESIDENTIAL,PVC,1.15,01:15,03:15,0.5,4,8,2.0,0.25,True,5000
DM-02-08-04-01,DM-02-08-04-01,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-02-08-04-02,DM-02-08-04-02,RESIDENTIAL,PVC,1.15,00:45,02:45,0.5,4,8,2.0,0.25,True,5000
DM-02-08-04-03,DM-02-08-04-03,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-02-12-01-01,DM-02-12-01-01,RESIDENTIAL,PVC,1.15,01:15,03:15,0.5,4,8,2.0,0.25,True,5000
DM-02-12-01-02,DM-02-12-01-02,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-12-01-03,DM-02-12-01-03,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-02-12-01-04,DM-02-12-01-04,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-02-12-02-01,DM-02-12-02-01,RESIDENTIAL,PVC,1.15,01:00,03:00,0.5,4,8,2.0,0.25,True,5000
