rtu_id,reason
DM-11-10-68-04,False Data
DM-11-10-70-01,False Data
DM-11-10-70-02,False Data
DM-11-10-72-01,False Data
DM-11-10-73-04,False Data
DM-12-01-02-02,False Data
DM-12-01-04-02,False Data
DM-12-01-05-02,False Data
DM-12-01-05-03,False Data
DM-12-01-06-02,False Data
DM-12-01-08-01,False Data
DM-12-01-09-01,False Data
DM-12-02-01-01,False Data
DM-12-02-02-01,False Data
DM-12-02-02-03,False Data
DM-12-02-03-01,False Data
DM-12-02-05-01,False Data
DM-12-02-06-01,False Data
DM-12-02-06-02,False Data
DM-12-02-07-02,False Data
DM-12-02-09-01,False Data
DM-12-03-01-01,False Data
DM-12-03-03-01,False Data
DM-12-03-04-01,False Data
DM-12-03-04-03,False Data
DM-12-03-06-01,False Data
DM-12-03-06-02,False Data
DM-12-03-09-01,False Data
DM-12-03-09-02,False Data
DM-12-04-02-01,False Data
DM-12-04-02-02,False Data
DM-12-04-02-03,False Data
DM-12-04-04-01,False Data
DM-12-04-04-02,False Data
DM-12-04-05-02,False Data
DM-12-04-06-01,False Data
DM-12-04-08-01,False Data
DM-12-05-05-01,False Data
DM-12-05-08-02,False Data
DM-12-05-09-02,False Data
DM-12-06-02-02,False Data
DM-12-06-03-01,False Data
DM-12-06-06-01,False Data
DM-12-06-07-02,False Data
DM-12-06-09-01,False Data
DM-12-07-01-01,False Data
DM-12-07-01-02,False Data
DM-12-07-02-01,False Data
DM-12-07-02-03,False Data
DM-12-07-04-02,False Data
DM-12-07-06-01,False Data
DM-12-07-07-01,False Data
DM-12-07-10-01,False Data
DM-13-02-04-03,False Data
DM-13-03-04-03,False Data
DM-13-04-05-02,False Data
DM-13-04-06-02,False Data
DM-13-04-07-02,False Data
DM-13-04-07-04,False Data
DM-13-05-08-03,False Data
DM-13-06-01-03,False Data
DM-13-06-01-05,False Data
DM-13-06-03-02,False Data
DM-13-06-03-03,False Data
DM-13-06-03-04,False Data
DM-13-06-05-01,False Data
DM-13-06-05-02,False Data
DM-13-07-03-03,False Data
DM-13-07-07-03,False Data
DM-13-07-07-05,False Data
DM-14-05-06-02,False Data
DM-14-06-04-04,False Data
DM-14-06-06-01,False Data
DM-14-07-03-03,False Data
DM-14-07-06-01,False Data
DM-14-07-08-01,False Data
DM-14-09-03-01,False Data
DM-14-10-03-01,False Data
DM-14-10-06-01,False Data
DM-14-11-01-01,False Data
DM-14-11-01-02,False Data
DM-14-11-02-01,False Data
DM-14-11-02-02,False Data
DM-14-11-03-01,False Data
DM-14-11-04-01,False Data
DM-14-11-04-02,False Data
DM-14-11-04-04,False Data
DM-14-11-05-01,False Data
DM-14-11-05-02,False Data
DM-14-11-06-01,False Data
DM-14-11-06-02,False Data
DM-14-11-06-03,False Data
DM-14-11-06-04,False Data
DM-14-11-07-02,False Data
DM-14-11-07-04,False Data
DM-14-11-08-01,False Data
DM-14-11-10-01,False Data
DM-14-11-11-01,False Data
DM-14-11-11-02,False Data
DM-14-11-16-01,False Data
DM-14-11-17-01,False Data
DM-14-11-18-01,False Data
DM-14-17-01-01,False Data
DM-14-18-05-02,False Data
DM-14-18-06-02,False Data
DM-15-01-02-01,False Data
DM-15-01-04-02,False Data
DM-15-01-05-02,False Data
DM-15-01-07-01,False Data
DM-15-03-02-01,False Data
DM-15-04-04-01,False Data
DM-15-05-04-01,False Data
DM-15-05-05-01,False Data
DM-15-05-07-01,False Data
DM-15-05-08-01,False Data
DM-15-06-02-01,False Data
DM-15-06-02-02,False Data
DM-15-07-06-01,False Data
DM-15-08-01-02,False Data
DM-15-08-02-01,False Data
DM-15-08-06-03,False Data
DM-15-09-02-02,False Data
DM-15-09-03-01,False Data
DM-15-09-05-03,False Data
DM-15-09-07-01,False Data
DM-16-02-06-01,False Data
DM-16-05-05-01,False Data
DM-16-06-03-02,False Data
DM-16-07-03-01,False Data
DM-16-07-05-01,False Data
DM-16-07-07-02,False Data
DM-16-07-08-01,False Data
DM-16-07-08-02,False Data
DM-16-08-02-02,False Data
DM-17-01-07-01,False Data
DM-17-03-03-02,False Data
DM-17-03-05-01,False Data
DM-17-03-05-04,False Data
DM-17-03-06-01,False Data
DM-17-04-16-01,False Data
DM-17-07-03-01,False Data
DM-17-07-08-02,False Data
DM-17-07-09-03,False Data
DM-17-08-01-01,False Data
DM-17-09-03-01,False Data
DM-17-09-06-01,False Data
DM-17-09-07-03,False Data
DM-17-10-05-01,False Data
DM-17-11-04-02,False Data
DM-53-01-01-02,False Data
DM-53-01-01-05,False Data
DM-53-01-02-01,False Data
DM-53-01-02-02,False Data
DM-53-01-05-01,False Data
DM-53-01-07-01,False Data
DM-53-01-08-02,False Data
DM-53-01-09-01,False Data
DM-53-02-02-01,False Data
DM-53-02-05-01,False Data
DM-53-02-05-02,False Data
DM-53-02-08-01,False Data
DM-53-03-01-01,False Data
DM-53-03-05-01,False Data
DM-53-04-01-01,False Data
DM-53-04-01-02,False Data
DM-53-04-01-03,False Data
DM-53-04-02-01,False Data
DM-53-05-02-01,False Data
DM-53-05-05-01,False Data
DM-53-05-08-01,False Data
DM-53-05-08-02,False Data
DM-53-05-10-02,False Data
DM-53-05-10-03,False Data
DM-53-05-11-01,False Data
DM-53-05-11-02,False Data
DM-53-06-03-01,False Data
DM-53-06-04-01,False Data
DM-53-06-05-01,False Data
DM-53-08-01-01,False Data
DM-53-08-02-01,False Data
DM-54-01-05-01,False Data
DM-54-01-06-02,False Data
DM-54-02-04-02,False Data
DM-54-02-04-03,False Data
DM-54-04-01-01,False Data
DM-54-04-02-01,False Data
DM-54-04-03-01,False Data
DM-54-04-03-02,False Data
DM-54-04-04-01,False Data
DM-54-04-04-04,False Data
DM-54-06-01-01,False Data
DM-54-06-01-03,False Data
DM-54-06-02-01,False Data
DM-54-06-02-02,False Data
DM-54-06-03-01,False Data
DM-54-06-04-02,False Data
DM-54-07-01-01,False Data
DM-54-07-02-01,False Data
DM-54-07-03-01,False Data
DM-54-07-04-01,False Data
DM-54-08-01-01,False Data
DM-54-08-04-01,False Data
DM-54-08-05-01,False Data
DM-54-08-06-01,False Data
DM-54-08-07-01,False Data
DM-54-08-08-01,False Data
DM-54-08-09-01,False Data
DM-54-09-02-02,False Data
DM-54-09-04-01,False Data
DM-54-09-05-01,False Data
DM-54-09-06-01,False Data
DM-54-09-07-01,False Data
DM-54-09-07-02,False Data
DM-55-01-03-01,False Data
DM-55-03-01-01,False Data
DM-55-03-01-02,False Data
DM-55-03-01-04,False Data
DM-55-03-01-05,False Data
DM-55-03-04-01,False Data
DM-55-04-01-02,False Data
DM-55-04-01-03,False Data
DM-55-04-01-07,False Data
DM-55-04-01-08,False Data
DM-55-04-02-01,False Data
DM-55-04-02-04,False Data
DM-55-04-03-03,False Data
DM-55-05-01-02,False Data
DM-55-05-01-03,False Data
DM-55-05-02-02,False Data
DM-55-05-03-01,False Data
DM-55-05-03-02,False Data
DM-55-06-01-01,False Data
DM-55-06-02-01,False Data
DM-55-06-02-02,False Data
DM-55-06-03-03,False Data
DM-55-06-04-02,False Data
DM-55-06-05-01,False Data
DM-55-06-05-02,False Data
DM-55-06-05-03,False Data
DM-55-06-05-04,False Data
DM-55-06-05-05,False Data
DM-55-06-05-06,False Data
DM-55-06-05-07,False Data
DM-55-06-06-05,False Data
DM-55-06-06-06,False Data
DM-55-06-07-01,False Data
DM-55-06-07-02,False Data
DM-55-06-07-03,False Data
DM-55-06-07-05,False Data
DM-55-06-07-06,False Data
DM-55-06-07-07,False Data
DM-55-06-07-08,False Data
DM-55-06-07-09,False Data
DM-55-06-07-10,False Data
DM-55-07-01-01,False Data
DM-55-07-02-02,False Data
DM-55-07-04-01,False Data
DM-55-07-05-01,False Data
DM-55-07-06-01,False Data
DM-55-07-06-02,False Data
DM-55-07-06-05,False Data
DM-55-07-06-06,False Data
DM-55-07-07-01,False Data
DM-55-09-01-01,False Data
DM-55-09-02-02,False Data
DM-55-09-04-01,False Data
DM-55-09-04-02,False Data
DM-56-01-01-01,False Data
DM-56-01-03-04,False Data
DM-56-01-04-01,False Data
DM-56-02-06-01,False Data
DM-56-03-05-02,False Data
DM-56-04-01-01,False Data
DM-56-04-03-01,False Data
DM-56-04-04-01,False Data
DM-56-04-04-02,False Data
DM-56-05-01-01,False Data
DM-56-05-01-02,False Data
DM-56-05-01-03,False Data
DM-56-05-05-01,False Data
DM-56-05-07-01,False Data
DM-56-06-01-01,False Data
DM-56-06-03-02,False Data
DM-55-07-07-04,False Data
DM-13-01-05-01,False Data
DM-13-01-06-01,False Data
